,sgRNA
773,[]
774,['ALYREF']
775,['AFP']
776,['ENSCSAG00000008053.1']
777,[]
778,[]
779,[]
780,['MPZL2']
781,['SLC47A1']
782,[]
783,[]
784,['CSF2RA']
785,[]
786,[]
787,['SNRK']
788,[]
789,[]
790,[]
791,['ZC3H4']
792,[]
793,['MEP1B']
794,[]
795,[]
796,[]
797,['DNM3']
798,[]
799,['AVPR1B']
800,[]
801,['RO60']
802,[]
803,[]
804,[]
805,[]
806,[]
807,[]
808,[]
809,[]
810,['ANO3']
811,[]
812,['CRYBA1']
813,[]
814,[]
815,[]
816,[]
817,['ING5']
818,[]
819,['ACTR2']
820,['REST']
821,['GPANK1']
822,['CCDC172']
823,['CCDC117']
824,['ENSCSAG00000010083.1']
825,['AFF4']
826,['DEPDC1B']
827,['ENSCSAG00000002492.1']
828,['ENSCSAG00000015132.1']
829,[]
830,['RSRC2']
831,['ENSCSAG00000009940.1']
832,['H2BC15']
833,[]
834,['ENSCSAG00000018035.1']
835,[]
836,['STK24']
837,['SLF2']
838,[]
839,[]
840,[]
841,['RHOT1']
842,['ENSCSAG00000018290.1']
843,[]
844,['PCDH12']
845,[]
846,[]
847,[]
848,[]
849,['CWF19L2']
850,['ENSCSAG00000019209.1']
851,['ENSCSAG00000000183.1']
852,['BMX']
853,[]
854,['IKZF3']
855,['ENSCSAG00000013177.1']
856,[]
857,[]
858,['KNOP1']
859,['ENSCSAG00000001602.1']
860,['ENSCSAG00000018600.1']
861,[]
862,[]
863,['ENSCSAG00000008798.1']
864,['CCNB3']
865,['GJA10']
866,['TLN2']
867,[]
868,[]
869,['UGT3A2']
870,['INO80D']
871,['EVC']
872,[]
873,[]
874,['ZNF800']
875,['ATF7IP2']
876,[]
877,['VWA3A']
878,['ZUP1']
879,[]
880,['ENSCSAG00000012670.1']
881,['HSP90AB1']
882,['ARPC2']
883,['GUCA1ANB']
884,[]
885,[]
886,[]
887,[]
888,[]
889,['C1orf141']
890,['LALBA']
891,[]
892,[]
893,['FUBP3']
894,['ZNF331']
895,[]
896,[]
897,[]
898,['ENSCSAG00000005922.1']
899,[]
900,['GPNMB']
901,['RFX8']
902,['CADM1']
903,[]
904,['UGCG']
905,[]
906,['SF3B2']
907,[]
908,[]
909,['ENSCSAG00000000245.1']
910,[]
911,[]
912,[]
913,['TSEN34']
914,[]
915,[]
916,['GCM2']
917,['LPO']
918,[]
919,['ENSCSAG00000006389.1']
920,['CDC25A']
921,['ERI1']
922,['ENSCSAG00000019433.1']
923,['IL7R']
924,['SHC3']
925,[]
926,['ACTRT1']
927,[]
928,[]
929,[]
930,['SOX4']
931,['EHD1']
932,['SLCO4C1']
933,['TNFRSF14']
934,[]
935,[]
936,[]
937,[]
938,['AVEN']
939,[]
940,[]
941,['ENSCSAG00000006438.1']
942,['IMPG2']
943,[]
944,[]
945,['ZNF235']
946,['BOLL']
947,[]
948,['ANTXR2']
949,['RGS4']
950,['TENT5D']
951,[]
952,['PARP16']
953,[]
954,['GABARAPL1']
955,['MED1']
956,['RBM5']
957,[]
958,['GCFC2']
959,[]
960,[]
961,['HMBS']
962,[]
963,['GDI1']
964,['NEK1']
965,[]
966,[]
967,['FILIP1L']
968,['ENSCSAG00000000619.1']
969,['BBS9']
970,[]
971,[]
972,[]
973,['OCIAD2']
974,[]
975,['NDUFA5']
976,['POLR2G']
977,[]
978,[]
979,['SYNJ1']
980,[]
981,[]
982,['MYL2']
983,[]
984,[]
985,['LSM6']
986,['TDRD7']
987,['COIL']
988,[]
989,['ZNF292']
990,['DONSON']
991,['ITPR3']
992,['ENSCSAG00000006943.1']
993,['RRP7A']
994,[]
995,[]
996,[]
997,[]
998,[]
999,[]
1000,['ATP6V1E2']
1001,['MPG']
1002,[]
1003,[]
1004,[]
1005,[]
1006,[]
1007,['MTMR12']
1008,['FAM169A']
1009,['YAE1']
1010,['NUBP2']
1011,[]
1012,['ATAD5']
1013,['SPATA46']
1014,[]
1015,[]
1016,[]
1017,['CISD2']
1018,['SH3RF1']
1019,[]
1020,['IL1RAPL2']
1021,['CTR9']
1022,[]
1023,['ATG3']
1024,[]
1025,['LMAN1']
1026,['L2HGDH']
1027,[]
1028,[]
1029,['CDK2']
1030,[]
1031,['ANKRD26']
1032,['DARS2']
1033,[]
1034,['TMEM185B']
1035,['HSP90AB1']
1036,['SLC38A11']
1037,[]
1038,['IARS1']
1039,['LCMT1']
1040,[]
1041,['KIZ']
1042,['ENSCSAG00000008481.1']
1043,[]
1044,['ENSCSAG00000006200.1']
1045,[]
1046,['DENND1A']
1047,['ENSCSAG00000004459.1']
1048,['TTC24']
1049,['SYNGR1']
1050,['NOSTRIN']
1051,[]
1052,[]
1053,[]
1054,[]
1055,[]
1056,['M1AP']
1057,['MTBP']
1058,[]
1059,[]
1060,['TDRD9']
1061,[]
1062,[]
1063,['PFKFB2']
1064,[]
1065,['ATP6V1G3']
1066,[]
1067,[]
1068,[]
1069,['RNF39']
1070,[]
1071,[]
1072,['NPY5R']
1073,[]
1074,[]
1075,[]
1076,[]
1077,['RTP1']
1078,[]
1079,[]
1080,['GNPDA2']
1081,[]
1082,[]
1083,[]
1084,[]
1085,['ENSCSAG00000018444.1']
1086,[]
1087,[]
1088,['ZNF667']
1089,[]
1090,[]
1091,['TSFM']
1092,['BPIFA2']
1093,[]
1094,[]
1095,[]
1096,['CBX3']
1097,[]
1098,[]
1099,['IL18R1']
1100,['SNRNP35']
1101,['TADA1']
1102,['KEL']
1103,['C2orf78']
1104,['PRSS58']
1105,[]
1106,[]
1107,['ZNF471']
1108,[]
1109,['CAPS2']
1110,[]
1111,['TCEAL4']
1112,['CDPF1']
1113,['BUD31']
1114,['GNGT2']
1115,[]
1116,['ZSCAN26']
1117,[]
1118,[]
1119,['NR1D2']
1120,['DPP9']
1121,[]
1122,['BANK1']
1123,['CCDC150']
1124,['USP40']
1125,[]
1126,['COLEC11']
1127,['DAB1']
1128,[]
1129,[]
1130,[]
1131,[]
1132,['ENSCSAG00000018888.1']
1133,['IFI35']
1134,['BPTF']
1135,[]
1136,['C12orf43']
1137,['MACROH2A2']
1138,['NSRP1']
1139,[]
1140,['CCDC38']
1141,[]
1142,[]
1143,['OTUD6B']
1144,[]
1145,[]
1146,['BCL7A']
1147,[]
1148,[]
1149,['ITSN1']
1150,[]
1151,[]
1152,[]
1153,[]
1154,[]
1155,[]
1156,[]
1157,['ENSCSAG00000018946.1']
1158,['C16orf78']
1159,['CRLF3']
1160,['MTR']
1161,[]
1162,[]
1163,['ENSCSAG00000004708.1']
1164,['MRPS5']
1165,['HNRNPU']
1166,[]
1167,[]
1168,[]
1169,[]
1170,[]
1171,[]
1172,['ST6GALNAC2']
1173,['SEC11C']
1174,[]
1175,[]
1176,['FGFBP3']
1177,['RGS8']
1178,[]
1179,[]
1180,[]
1181,[]
1182,['ENSCSAG00000017555.1']
1183,['IFI16']
1184,[]
1185,['KAZN']
1186,['TTC16']
1187,['MERTK']
1188,['ENSCSAG00000017881.1']
1189,[]
1190,['TSGA10IP']
1191,[]
1192,['OR10G3']
1193,[]
1194,[]
1195,[]
1196,[]
1197,[]
1198,[]
1199,[]
1200,['PTPRR']
1201,[]
1202,[]
1203,[]
1204,['DDX43']
1205,[]
1206,[]
1207,[]
1208,['CHAT']
1209,[]
1210,['PAX5']
1211,[]
1212,['PLEKHN1']
1213,[]
1214,[]
1215,[]
1216,[]
1217,['SETD9']
1218,[]
1219,[]
1220,['CENPC']
1221,['ENSCSAG00000012198.1']
1222,[]
1223,['FLOT1']
1224,[]
1225,[]
1226,['ENSCSAG00000008899.1']
1227,['SP100']
1228,[]
1229,['ARMC3']
1230,[]
1231,[]
1232,[]
1233,['TRIP12']
1234,['ENSCSAG00000006598.1']
1235,['DGKG']
1236,[]
1237,[]
1238,['CHST10']
1239,[]
1240,[]
1241,[]
1242,[]
1243,['PLCL2']
1244,['ZNF543']
1245,[]
1246,[]
1247,[]
1248,['ENSCSAG00000000498.1']
1249,[]
1250,['FGD1']
1251,['PWWP3B']
1252,[]
1253,['AS3MT']
1254,['HOOK2']
1255,['KCNJ1']
1256,[]
1257,[]
1258,['ENSCSAG00000010498.1']
1259,['NKAPD1']
1260,['DDX19A']
1261,[]
1262,['EXOC1']
1263,[]
1264,['CDH1']
1265,[]
1266,[]
1267,[]
1268,['FREM3']
1269,[]
1270,[]
1271,[]
1272,[]
1273,[]
1274,['EPB41L2']
1275,[]
1276,[]
1277,[]
1278,['INTS6']
1279,['ENSCSAG00000014526.1']
1280,[]
1281,['ENSCSAG00000006805.1']
1282,['ZBTB18']
1283,['ADK']
1284,[]
1285,[]
1286,[]
1287,[]
1288,[]
1289,[]
1290,['GPR107']
1291,[]
1292,['TRNAU1AP']
1293,[]
1294,[]
1295,[]
1296,['ZNF35']
1297,[]
1298,['SCFD1']
1299,['TCEAL8']
1300,['ZNF682']
1301,['PTN']
1302,[]
1303,['ENSCSAG00000001804.1']
1304,[]
1305,['IL36A']
1306,[]
1307,[]
1308,['ENSCSAG00000002011.1']
1309,['HBD']
1310,['ENSCSAG00000009861.1']
1311,[]
1312,[]
1313,[]
1314,['TXNDC15']
1315,['ANKRD40CL']
1316,[]
1317,['TCEAL7']
1318,[]
1319,[]
1320,[]
1321,[]
1322,[]
1323,[]
1324,['TRMT6']
1325,['EFNB2']
1326,[]
1327,[]
1328,"['RPL30', 'ENSCSAG00000000183.1']"
1329,['ENSCSAG00000000580.1']
1330,[]
1331,[]
1332,[]
1333,[]
1334,[]
1335,['ZNF736']
1336,['CCDC170']
1337,[]
1338,['LCLAT1']
1339,[]
1340,[]
1341,[]
1342,[]
1343,[]
1344,[]
1345,['RP9']
1346,[]
1347,['DSG4']
1348,['ANAPC2']
1349,['SETDB2']
1350,['ENSCSAG00000011860.1']
1351,['MAP1LC3C']
1352,['ACSL3']
1353,['TTR']
1354,[]
1355,[]
1356,['ZEB2']
1357,[]
1358,[]
1359,[]
1360,['IQUB']
1361,[]
1362,[]
1363,[]
1364,['TAF1B']
1365,['PLCG2']
1366,[]
1367,[]
1368,['EP400']
1369,['PHLPP2']
1370,[]
1371,[]
1372,[]
1373,[]
1374,['STRBP']
1375,['NHP2']
1376,[]
1377,[]
1378,[]
1379,['FCHO2']
1380,[]
1381,['MRPL9']
1382,[]
1383,[]
1384,[]
1385,['ENSCSAG00000019753.1']
1386,['CLIP1']
1387,[]
1388,['FRS2']
1389,[]
1390,[]
1391,[]
1392,['C19orf44']
1393,[]
1394,[]
1395,['MED4']
1396,[]
1397,[]
1398,['PREPL']
1399,[]
1400,['ENSCSAG00000004704.1']
1401,[]
1402,['EVC2']
1403,['MOBP']
1404,"['ENSCSAG00000010206.1', 'ENSCSAG00000010216.1']"
1405,['RGS7']
1406,[]
1407,['VTI1A']
1408,[]
1409,[]
1410,[]
1411,['SYNPR']
1412,[]
1413,[]
1414,[]
1415,[]
1416,['SNAPC3']
1417,[]
1418,['LSM1']
1419,['RTKN']
1420,['TYW5']
1421,[]
1422,[]
1423,[]
1424,[]
1425,[]
1426,[]
1427,[]
1428,['TECRL']
1429,['GRSF1']
1430,['CEP63']
1431,[]
1432,['ZNF512']
1433,[]
1434,[]
1435,[]
1436,['GCAT']
1437,['TLR1']
1438,[]
1439,[]
1440,['BRD1']
1441,[]
1442,[]
1443,['ENSCSAG00000007502.1']
1444,['C4orf45']
1445,[]
1446,['MIA3']
1447,['NGLY1']
1448,['SLC38A11']
1449,[]
1450,['ACBD6']
1451,['HEPHL1']
1452,[]
1453,[]
1454,[]
1455,['ENSCSAG00000008937.1']
1456,[]
1457,['ATP7B']
1458,['ENSCSAG00000009655.1']
1459,[]
1460,[]
1461,[]
1462,['ALPK3']
1463,['CALB1']
1464,['EDEM3']
1465,[]
1466,['WDR88']
1467,[]
1468,[]
1469,['TOR1AIP2']
1470,[]
1471,[]
1472,['GCC2']
1473,[]
1474,[]
1475,[]
1476,['ENSCSAG00000016976.1']
1477,[]
1478,['ERRFI1']
1479,[]
1480,[]
1481,[]
1482,[]
1483,['SHOX2']
1484,[]
1485,['PMFBP1']
1486,['ENSCSAG00000003574.1']
1487,['ENSCSAG00000003564.1']
1488,[]
1489,['KDELR2']
1490,[]
1491,[]
1492,[]
1493,['USP54']
1494,[]
1495,[]
1496,['ADAMTS16']
1497,['ENSCSAG00000003410.1']
1498,['DNAJB9']
1499,[]
1500,['STAT4']
1501,[]
1502,['DDX18']
1503,[]
1504,['ENSCSAG00000011183.1']
1505,[]
1506,['ADAMTS10']
1507,[]
1508,[]
1509,['ENSCSAG00000013551.1']
1510,[]
1511,[]
1512,[]
1513,[]
1514,['TWNK']
1515,[]
1516,[]
1517,['RBM44']
1518,[]
1519,[]
1520,[]
1521,[]
1522,['MAP3K13']
1523,[]
1524,['FAM133A']
1525,['KRT5']
1526,['ENSCSAG00000000688.1']
1527,['ATL1']
1528,[]
1529,[]
1530,['USP26']
1531,['ZMYND11']
1532,[]
1533,['ENSCSAG00000019326.1']
1534,['GART']
1535,[]
1536,[]
1537,['EXTL2']
1538,[]
1539,[]
1540,[]
1541,['ZNF407']
1542,[]
1543,['SLC9A3']
1544,['PTDSS1']
1545,[]
1546,['DTNA']
1547,['CDON']
1548,['ASAP2']
1549,[]
1550,[]
1551,['TMC7']
1552,['NOS2']
1553,[]
1554,[]
1555,[]
1556,[]
1557,[]
1558,['ZWILCH']
1559,['ENSCSAG00000013855.1']
1560,['PKIB']
1561,['ENSCSAG00000016068.1']
1562,[]
1563,[]
1564,[]
1565,['GTF3C4']
1566,['MAGI3']
1567,['ZFAT']
1568,['GPR171']
1569,[]
1570,[]
1571,['MUC13']
1572,['UHRF1BP1L']
1573,[]
1574,['ZNF426']
1575,['RND3']
1576,['PKIA']
1577,['PDCL2']
1578,['ENSCSAG00000013089.1']
1579,[]
1580,[]
1581,[]
1582,[]
1583,[]
1584,['IL13RA1']
1585,['SAMD15']
1586,['MYH4']
1587,['SGCG']
1588,['TFB1M']
1589,['ARMH4']
1590,[]
1591,[]
1592,[]
1593,['HEY1']
1594,[]
1595,[]
1596,[]
1597,['MYO5A']
1598,['ENSCSAG00000005089.1']
1599,['FBXO32']
1600,[]
1601,['ASNS']
1602,[]
1603,['TNMD']
1604,[]
1605,['PLGRKT']
1606,['TM2D1']
1607,[]
1608,[]
1609,['HNRNPH1']
1610,[]
1611,[]
1612,[]
1613,[]
1614,"['UQCRB', 'ENSCSAG00000000050.1']"
1615,[]
1616,['ADGRF4']
1617,[]
1618,['YBX2']
1619,['ENSCSAG00000004334.1']
1620,['ZNF571']
1621,[]
1622,[]
1623,['NOC2L']
1624,[]
1625,[]
1626,[]
1627,['CDC40']
1628,['UNC5C']
1629,['RBM48']
1630,[]
1631,['ARF6']
1632,[]
1633,['NEU1']
1634,[]
1635,['TYRP1']
1636,[]
1637,['ENSCSAG00000008809.1']
1638,[]
1639,[]
1640,['XRN2']
1641,[]
1642,[]
1643,['ALPK2']
1644,[]
1645,[]
1646,[]
1647,[]
1648,[]
1649,[]
1650,[]
1651,['ZFAND1']
1652,[]
1653,[]
1654,[]
1655,['C17orf80']
1656,[]
1657,['SETD4']
1658,[]
1659,[]
1660,[]
1661,['THOC7']
1662,[]
1663,['GNB4']
1664,['LCA5L']
1665,[]
1666,[]
1667,[]
1668,['ALKAL1']
1669,[]
